script,region,img_size,threads,mean,ci
mandelbrot_omp,full,1024,8,0.080612102,0.0005296173236928295
mandelbrot_omp,full,1024,16,0.070005923,0.0007680051348137101
mandelbrot_omp,full,1024,32,0.064975821,0.00038258809536528176
mandelbrot_omp,full,2048,1,0.720716571,0.0002680228552260874
mandelbrot_omp,full,2048,2,0.371857525,0.00011523984091915446
mandelbrot_omp,full,2048,4,0.365491008,0.0012006284707149462
mandelbrot_omp,full,2048,8,0.318125657,0.0010647521550997258
mandelbrot_omp,full,2048,16,0.267125898,0.0025331651075818137
mandelbrot_omp,full,2048,32,0.248417425,0.0007236623614442982
mandelbrot_omp,full,4096,1,2.874742745,0.00035635680264078923
mandelbrot_omp,full,4096,2,1.481117845,0.00027540190535122963
mandelbrot_omp,full,4096,4,1.42808312,0.00132770263208843
mandelbrot_omp,full,4096,8,1.253002843,0.0019415480202877196
mandelbrot_omp,full,4096,16,1.06134177,0.005591524776878228
mandelbrot_omp,full,4096,32,0.968799444,0.001921497972586145
mandelbrot_omp,full,8192,1,11.512924847,0.008562941699022778
mandelbrot_omp,full,8192,2,5.918655147,0.002934736372897075
mandelbrot_omp,full,8192,4,5.679446713,0.001056047262803034
mandelbrot_omp,full,8192,8,4.973188513,0.004623621262732975
mandelbrot_omp,full,8192,16,4.142402302,0.014634679016604701
mandelbrot_omp,full,8192,32,3.857323352,0.0059769844573969505
mandelbrot_seq,elephant,16,.,0.000902655,2.9875770907153527e-5
mandelbrot_seq,elephant,32,.,0.00187664,1.535362649888712e-5
mandelbrot_seq,elephant,64,.,0.010897202,0.002033000888219817
mandelbrot_seq,elephant,128,.,0.021434928,0.000107612598733623
mandelbrot_seq,elephant,256,.,0.083122463,0.0006079340686869464
mandelbrot_seq,elephant,512,.,0.316425145,0.0002549590377895754
mandelbrot_seq,elephant,1024,.,1.259629146,0.0004684357399587501
mandelbrot_seq,elephant,2048,.,5.023467369,0.0018681463997786462
mandelbrot_seq,elephant,4096,.,20.246671878,0.0338823465529181
mandelbrot_seq,elephant,8192,.,81.34763853,0.030251873235630486
mandelbrot_seq_sem,elephant,16,.,0.000787771,1.3915567445034825e-5
mandelbrot_seq_sem,elephant,32,.,0.00172973,3.0876415524752194e-5
mandelbrot_seq_sem,elephant,64,.,0.00558395,7.37186198215078e-5
mandelbrot_seq_sem,elephant,128,.,0.019685576,7.930810168852984e-5
mandelbrot_seq_sem,elephant,256,.,0.076212673,0.00015115873317416028
mandelbrot_seq_sem,elephant,512,.,0.30067996,0.0002795450549882866
mandelbrot_seq_sem,elephant,1024,.,1.200491706,0.0008928869618494081
mandelbrot_seq_sem,elephant,2048,.,4.796052797,0.0017835745925522813
mandelbrot_seq_sem,elephant,4096,.,19.16223014,0.004750749315593011
